2014/07/14 00:36:20 - 16583 - ajx.login.php - SQL: ERROR: 1054 - Unknown column 'usuarios.idUsuario' in 'field list' - sql: SELECT usuarios.idUsuario AS 'id'
FROM usuarios 
WHERE usuarios.usuario = 'd'
AND usuarios.password = MD5('1')
LIMIT 1
2014/07/14 00:36:27 - 23391 - ajx.login.php - SQL: ERROR: 1054 - Unknown column 'usuarios.idUsuario' in 'field list' - sql: SELECT usuarios.idUsuario AS 'id'
FROM usuarios 
WHERE usuarios.usuario = 'admin'
AND usuarios.password = MD5('admin')
LIMIT 1
2014/07/14 00:49:43 - 6715 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:51:17 - 15198 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 02:27:28 - 16583 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 03:36:29 - 6111 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 03:47:19 - 32214 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 12:03:40 - 14816 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 12:27:34 - 11711 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 15:33:15 - 8264 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 15:33:15 - 4617 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 16:17:36 - 15833 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 16:46:51 - 18685 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 17:56:50 - 18253 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 18:04:29 - 18253 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 18:07:32 - 17213 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 18:18:30 - 23744 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 18:29:28 - 12068 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 18:30:47 - 17208 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 18:38:21 - 18685 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/14 19:55:49 - 17213 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/14 20:16:30 - 17198 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/14 20:25:52 - 17175 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/14 20:33:23 - 17189 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.122.46.110')
2014/07/14 20:33:23 - 4286 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.122.46.110')
2014/07/14 21:11:29 - 28605 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 10:51:21 - 12437 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 10:59:21 - 14235 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '200.89.138.226')
2014/07/16 11:21:15 - 22858 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 11:58:29 - 12929 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '200.89.138.226')
2014/07/16 16:17:53 - 17305 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 16:21:29 - 17305 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 16:22:56 - 16645 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 16:24:01 - 21835 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 16:24:11 - 26762 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 16:37:19 - 9242 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/16 17:20:09 - 12712 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/16 17:21:57 - 12736 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/16 17:24:02 - 17209 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/16 17:24:59 - 6498 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 13:25:42 - 4462 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 14:58:49 - 28857 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:06:10 - 20151 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:09:11 - 21624 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:10:47 - 12101 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:13:37 - 30597 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:21:11 - 382 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:24:46 - 741 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:26:32 - 15097 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:29:30 - 15090 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 16:34:25 - 14892 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 17:47:18 - 31952 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 17:55:26 - 6763 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 18:36:30 - 32493 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.210.139.226')
2014/07/17 20:04:47 - 24636 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.18.149.222')
2014/07/17 20:14:16 - 31917 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:14:37 - 30958 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:20:03 - 31917 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:29:56 - 9007 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:31:15 - 22048 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:36:16 - 1656 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:38:49 - 1668 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/17 20:40:01 - 27583 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.18.149.222')
2014/07/17 20:57:11 - 30958 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '190.194.61.105')
2014/07/22 13:06:52 - 16737 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 13:54:26 - 12034 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 13:57:48 - 15281 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 13:58:59 - 24420 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 13:59:57 - 23750 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:00:38 - 16220 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:02:56 - 22776 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:03:18 - 24420 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:05:11 - 22776 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:10:39 - 22405 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:13:10 - 16219 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:13:33 - 30134 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:15:54 - 15346 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:16:42 - 19246 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:19:18 - 22405 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:20:32 - 25030 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:23:17 - 29205 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:27:37 - 15281 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:28:47 - 26273 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:30:01 - 23750 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:30:34 - 22405 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:32:49 - 24420 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/22 14:34:11 - 16220 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
